age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
39,5.0,4.2615899694317765,3.0,54.36893203883495,4.0,0.0,1.0,4.0,1.0,0.0,0.0,39.795918367346935,38.0,0
50,4.0,4.6558540562937,3.0,54.36893203883495,2.0,3.0,0.0,4.0,1.0,0.0,0.0,12.244897959183673,38.0,0
38,2.0,13.659294597255323,2.0,50.48543689320388,0.0,5.0,1.0,4.0,1.0,0.0,0.0,39.795918367346935,38.0,0
53,2.0,14.95706637583879,2.0,48.543689320388346,2.0,5.0,0.0,2.0,1.0,0.0,0.0,39.795918367346935,38.0,0
28,2.0,22.011502033912837,3.0,54.36893203883495,2.0,13.0,5.0,2.0,0.0,0.0,0.0,39.795918367346935,4.0,0
37,2.0,18.34937036807733,1.0,55.33980582524272,2.0,3.0,5.0,4.0,0.0,0.0,0.0,39.795918367346935,38.0,0
52,4.0,13.250811149883628,2.0,50.48543689320388,2.0,3.0,0.0,4.0,1.0,0.0,0.0,44.89795918367347,38.0,1
31,2.0,2.1024923341318402,1.0,55.33980582524272,4.0,13.0,1.0,4.0,0.0,0.0,0.0,50.0,38.0,1
42,2.0,9.835919465352047,3.0,54.36893203883495,2.0,3.0,0.0,4.0,1.0,0.0,0.0,39.795918367346935,38.0,1
30,5.0,8.600944192751937,3.0,54.36893203883495,2.0,13.0,0.0,1.0,1.0,0.0,0.0,39.795918367346935,18.0,1
23,2.0,7.306574175055975,3.0,54.36893203883495,4.0,0.0,3.0,4.0,0.0,0.0,0.0,29.591836734693878,38.0,0
34,2.0,15.68953353013654,2.0,45.631067961165044,2.0,12.0,0.0,0.0,1.0,0.0,0.0,44.89795918367347,25.0,0
0,4.0,11.013404978953307,2.0,50.48543689320388,4.0,4.0,3.0,4.0,1.0,0.0,0.0,34.69387755102041,38.0,0
32,2.0,11.698383551261477,2.0,50.48543689320388,4.0,6.0,4.0,4.0,1.0,0.0,0.0,39.795918367346935,38.0,0
38,2.0,0.9531053654613775,2.0,48.543689320388346,2.0,10.0,0.0,4.0,1.0,0.0,0.0,50.0,38.0,0
43,4.0,18.865961776453965,1.0,55.33980582524272,0.0,3.0,4.0,4.0,0.0,0.0,0.0,44.89795918367347,38.0,1
40,2.0,12.154219510187254,1.0,57.28155339805825,2.0,13.0,0.0,4.0,1.0,0.0,0.0,60.20408163265306,38.0,1
54,2.0,19.54434093264037,2.0,50.48543689320388,5.0,7.0,4.0,2.0,0.0,0.0,0.0,19.387755102040817,38.0,0
35,0.0,4.215938338321449,2.0,46.60194174757281,2.0,4.0,0.0,2.0,1.0,0.0,0.0,39.795918367346935,38.0,0
43,2.0,6.950409810134118,2.0,48.543689320388346,2.0,12.0,0.0,4.0,1.0,0.0,46.87786960514234,39.795918367346935,38.0,0
59,2.0,6.404631293342685,2.0,24.271844660194173,0.0,11.0,4.0,4.0,0.0,0.0,0.0,39.795918367346935,38.0,0
56,1.0,13.741277034644213,3.0,54.36893203883495,2.0,11.0,0.0,4.0,1.0,0.0,0.0,39.795918367346935,38.0,1
39,2.0,23.974386101221437,2.0,50.48543689320388,0.0,3.0,1.0,4.0,1.0,0.0,0.0,80.61224489795919,38.0,0
49,2.0,12.143469945782735,2.0,50.48543689320388,2.0,2.0,0.0,4.0,1.0,0.0,0.0,39.795918367346935,38.0,0
20,2.0,17.086160480110923,3.0,51.45631067961165,4.0,10.0,3.0,2.0,1.0,0.0,0.0,43.87755102040816,38.0,0
